ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION
630 OHIO ST,07/06/2016 12:00:00 AM,Single Family Residential,2,2,3,37100,"(44.92703592, -93.09753069)"
1080 UNIVERSITY AVE W,04/30/2015 12:00:00 AM,Commercial,2,1,8,33500,"(44.95554313, -93.14547304)"
2062 COMO AVE,11/09/2001 12:00:00 AM,Single Family Residential,3,4,12,30100,"(44.97690247, -93.18743997)"
106 DOUGLAS ST,04/10/2018 12:00:00 AM,Duplex,2,2,9,36000,"(44.93826197, -93.11086274)"
685 MINNEHAHA AVE E,08/11/2010 12:00:00 AM,Commercial,2,6,4,31500,"(44.96311852, -93.07212196)"
864 MARION ST,05/14/2010 12:00:00 AM,Duplex,3,1,6,31300,"(44.96729678, -93.10957842)"
1802 ROSS AVE,09/01/2010 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96563611, -93.02434001)"
670 SIMS AVE,06/24/2014 12:00:00 AM,Single Family Residential,2,6,5,31500,"(44.96922321, -93.07225507)"
134 ELIZABETH ST E,08/28/2018 12:00:00 AM,Single Family Residential,3,2,3,37200,"(44.92697764, -93.07968068)"
1352 SUMMIT AVE,01/28/2020 12:00:00 AM,Duplex,1,3,14,35200,"(44.94100544, -93.15746483)"
61 COMO AVE,02/07/2020 12:00:00 AM,Multi-family Residential,2,1,7,42800,"(44.95910417, -93.10193403)"
2034 REANEY AVE,09/08/2020 12:00:00 AM,Single Family Residential,2,7,2,31802,"(44.96379858, -93.01439667)"
1082 LOEB ST,10/03/2019 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.9737785, -93.12491004)"
284 MAPLE ST,02/07/2020 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95618612, -93.06629569)"
253 UNIVERSITY AVE W,03/05/2018 12:00:00 AM,Commercial,1,1,7,32700,"(44.95595409, -93.1108941)"
1440 MARSHALL AVE,04/10/2019 12:00:00 AM,Commercial,2,1,13,33400,"(44.94820282, -93.16124529)"
