9/30/2020,ENV-20-18802,Litter,"1145 N ELMER St, SOUTH BEND IN 46628",1145 N ELMER,Closed,
9/30/2020,ENV-20-18801,Litter,"1133 N ELMER St, SOUTH BEND IN 46628",1133 N ELMER,Closed,
9/30/2020,ENV-20-18800,Vegetation,"1131 N ELMER St, SOUTH BEND IN 46628",1131 N ELMER,Review Case for Collections,
9/30/2020,ENV-20-18799,Litter,"1131 N ELMER St, SOUTH BEND IN 46628",1131 N ELMER,Review Case for Collections,
9/30/2020,ENV-20-18798,Grass and Weeds,"2503 HUMBOLDT St, SOUTH BEND IN 46628",2503 HUMBOLDT,Review Case for Collections,
9/30/2020,ENV-20-18797,Litter,"1801 SOUTH BEND Ave, SOUTH BEND IN 46637",1801 SOUTH BEND,Closed,
9/30/2020,ENV-20-18796,Litter,"3110 E JEFFERSON Blvd, SOUTH BEND IN 46615",3110 E JEFFERSON,Closed,
9/30/2020,ENV-20-18795,Litter,"408 TONTI St, SOUTH BEND IN 46617",408 TONTI,Closed,
9/29/2020,ENV-20-18794,Litter,"1534 VIRGINIA St, SOUTH BEND IN 46613",1534 VIRGINIA,Review Case for Collections,
9/29/2020,ENV-20-18793,Litter,"1805 LEER St, SOUTH BEND IN 46613",1805 LEER,Closed,
9/29/2020,ENV-20-18792,Litter,"1817 LEER St, SOUTH BEND IN 46613",1817 LEER,Closed,
9/29/2020,ENV-20-18791,Litter,"1346 N OLIVE St, SOUTH BEND IN 46628",1346 N OLIVE,Review Case for Collections,
9/29/2020,ENV-20-18790,Litter,"734 N SCOTT St, SOUTH BEND IN 46616",734 N SCOTT,Closed,
9/29/2020,HSG-20-00145,Sub-standard Housing,"215 E FOX St, SOUTH BEND IN 46614",215 E FOX,Hearing Recommended,
9/29/2020,ENV-20-18789,Litter,"726 N SCOTT St, SOUTH BEND IN 46616",726 N SCOTT,Closed,
9/29/2020,ENV-20-18788,Vegetation,"713 N SCOTT St, SOUTH BEND IN 46616",713 N SCOTT,Closed,
9/29/2020,ENV-20-18787,Litter,"1502 HIGH St, SOUTH BEND IN 46613",1502 HIGH,Payment Plan,
9/29/2020,ENV-20-18786,Grass and Weeds,"726 CUSHING St, SOUTH BEND IN 46616",726 CUSHING,Closed,
9/29/2020,ENV-20-18785,Grass and Weeds,"719 PIERCE St, SOUTH BEND IN 46616",719 PIERCE,Closed,
9/29/2020,ENV-20-18784,Litter,"3026 PRAST Blvd, SOUTH BEND IN 46628",3026 PRAST,Closed,
9/29/2020,ENV-20-18783,Litter,"729 CUSHING St, SOUTH BEND IN 46616",729 CUSHING,Closed,
9/29/2020,ENV-20-18782,Litter,"726 CUSHING St, SOUTH BEND IN 46616",726 CUSHING,Closed,
9/29/2020,ENV-20-18781,Grass and Weeds,"718 CUSHING St, SOUTH BEND IN 46616",718 CUSHING,Closed,
9/29/2020,ENV-20-18780,Litter,"1114 OBRIEN St, SOUTH BEND IN 46628",1114 OBRIEN,Review Case for Collections,
9/29/2020,ENV-20-18779,Vegetation,"1114 OBRIEN St, SOUTH BEND IN 46628",1114 OBRIEN,Closed,
9/29/2020,HSG-20-00144,Sub-standard Housing,"205 E IRVINGTON Ave, SOUTH BEND IN 46614",205 E IRVINGTON,Hearing Recommended,
9/29/2020,SEC-20-00203,Secure Property,"613 N SCOTT St, SOUTH BEND IN 46616",613 N SCOTT,Review Case for Collections,
9/29/2020,ENV-20-18778,Grass and Weeds,"728 N ELMER St, SOUTH BEND IN 46628",728 N ELMER,Closed,
9/29/2020,ENV-20-18777,Litter,"709 HUEY St, SOUTH BEND IN 46628",709 HUEY,Closed,
9/29/2020,ENV-20-18776,Litter,"530 N SCOTT St, SOUTH BEND IN 46616",530 N SCOTT,Closed,
9/29/2020,ENV-20-18775,Litter,"1123 N JOHNSON St, SOUTH BEND IN 46628",1123 N JOHNSON,Review Case for Collections,
9/29/2020,ENV-20-18774,Litter,"615 OBRIEN St, SOUTH BEND IN 46614",615 OBRIEN,Closed,
9/29/2020,ENV-20-18773,Vegetation,"615 OBRIEN St, SOUTH BEND IN 46614",615 OBRIEN,Closed,
