Date,Record Number,Record Type,Status,Address,parcel_id,site_address,Site_city,Site_zip Code,mail_address,mail_city,mail_state,mail_zip,land_value,bldg_value,total_market_value
2/3/2021,COD2021-00601,Code Enforcement Case,Enforcement,3244 Rockett Dr,525-782-12,3244 ROCKETT DR,FREMONT,94538,4368 DELAWARE DR,FREMONT,CA,94538,"$91,131 ","$212,639 ","$303,770 "
2/2/2021,COD2021-00598,Code Enforcement Case,Under Investigation,46800 Crawford St,519-1244-23,46800 CRAWFORD ST,FREMONT,94539,46800 CRAWFORD ST,FREMONT,CA,94539,"$162,087 ","$481,324 ","$636,411 "
2/2/2021,COD2021-00600,Code Enforcement Case,Abated,332 Washington Blvd # 2,,,,,,,,,,,
2/2/2021,COD2021-00599,Code Enforcement Case,Enforcement,39955 San Simeon Ct,525-7-9,39955 SAN SIMEON CT,FREMONT,94539,1869 FIREBRICK TER UNION,CITY,CA,94587,"$21,331 ","$81,021 ","$102,352 "
2/1/2021,COD2021-00597,Code Enforcement Case,Referred,37161 Niles Blvd,,,,,,,,,,,
2/1/2021,COD2021-00596,Code Enforcement Case,Under Investigation,1401 Red Hawk Cir,,,,,,,,,,,
2/1/2021,COD2021-00595,Code Enforcement Case,Unfounded,3739 Wilmington Rd,525-1603-42,3739 WILMINGTON RD,FREMONT,94538,3739 WILMINGTON RD,FREMONT,CA,94538,"$172,433 ","$402,343 ","$574,776 "
2/1/2021,COD2021-00594,Code Enforcement Case,Unfounded,3849 Savannah Rd,525-1603-44,3849 SAVANNAH RD,FREMONT,94538,3849 SAVANNAH RD,FREMONT,CA,94538,"$18,831 ","$45,958 ","$57,789 "
2/1/2021,COD2021-00593,Code Enforcement Case,Unfounded,38991 Farwell Dr,531-6-17,38991 FARWELL DR,FREMONT,94536,38991 FARWELL DR,FREMONT,CA,94536,"$365,543 ","$598,927 ","$992,738 "
2/1/2021,COD2021-00592,Code Enforcement Case,Unfounded,5126 Curtis St,531-219-68,5126 CURTIS ST,FREMONT,94538,5126 CURTIS ST,FREMONT,CA,94538,"$86,298 ","$175,870 ","$255,168 "
2/1/2021,COD2021-00591,Code Enforcement Case,Under Investigation,37487 Joseph St,501-526-6,37487 JOSEPH ST,FREMONT,94536,4231 CENTRAL AVE,FREMONT,CA,94536,"$73,718 ","$172,010 ","$245,728 "
2/1/2021,COD2021-00590,Code Enforcement Case,Unfounded,42981 Paseo Padre Pkwy,513-704-40,42981 PASEO PADRE PKWY,FREMONT,94539,42981 PASEO PADRE PKWY,FREMONT,CA,94539,"$461,643 ","$682,331 ","$1,136,974 "
1/29/2021,COD2021-00589,Code Enforcement Case,Referred,4185 Colby St,525-1270-90,4185 COLBY ST,FREMONT,94538,40112 MARGERY CT,FREMONT,CA,94538,"$139,701 ","$442,422 ","$582,123 "
1/28/2021,COD2021-00588,Code Enforcement Case,Under Investigation,36264 Coronado Dr,501-109-103,36264 CORONADO DR,FREMONT,94536,36264 CORONADO DR,FREMONT,CA,94536,"$76,460 ","$181,166 ","$250,626 "
1/27/2021,COD2021-00587,Code Enforcement Case,Abated,47031 Kato Rd,519-1680-27-5,47031 KATO RD,FREMONT,94538,15018 HANNAH LYN AVE,BAKERSFIELD,CA,93314,"$3,923,045 ","$6,501,046 ","$10,424,091 "
1/21/2021,COD2021-00586,Code Enforcement Case,Abated,41200 Blacow Rd,525-976-21-1,41200 BLACOW RD,FREMONT,94538,17888 COCHRANE RD MORGAN,HILL,CA,95037,"$2,238,022 ","$4,108,531 ","$6,346,553 "
1/20/2021,ENV2021-00020,Environmental Case,Case Closed,43690 Auto Mall Cir,531-223-11,43690 AUTO MALL CIR,FREMONT,94538,4640 WESTAMERI DR,FAIRFIELD,CA,94534,"$2,477,112 ","$675,576 ","$3,152,688 "
1/20/2021,ENV2021-00019,Environmental Case,Case Closed,5673 Bunche Dr,525-1670-20,5673 BUNCHE DR,FREMONT,94538,8033 W SUNSET BLVD 2250 LOS,ANGELES,CA,90046,"$3,482,871 ",$0 ,"$3,482,871 "
1/19/2021,COD2021-00558,Code Enforcement Case,Under Investigation,4050 Alder Ave,,,,,,,,,,,
1/19/2021,COD2021-00559,Code Enforcement Case,Enforcement,3357 Foxtail Ter,,,,,,,,,,,
1/19/2021,COD2021-00560,Code Enforcement Case,Enforcement,101 Lima Ter,513-461-28,101 LIMA TER,FREMONT,94539,101 LIMA TER,FREMONT,CA,94539,"$341,492 ","$796,816 ","$1,138,308 "
